"","ENSEMBL","SYMBOL","ENTREZID"
"291","FBgn0035541","CG15019","38542"
"292","FBgn0040842","CG15212","50315"
"293","FBgn0035603","Pfdn4","38615"
"294","FBgn0086660","snoRNA:Psi28S-1837a","3772387"
"295","FBgn0035631","Txl","38646"
"296","FBgn0035645","CG5592","38662"
"297","FBgn0035663","CG6462","38681"
"298","FBgn0266961","lncRNA:CR45412","19835158"
"299","FBgn0035721","CG9948","38757"
"300","FBgn0035722","CG10075","38758"
"301","FBgn0035726","CG9953","38763"
"302","FBgn0047205","lncRNA:CR32385","3772463"
"303","FBgn0024542","Neos","38795"
"304","FBgn0028648","mRpL50","38796"
"305","FBgn0015298","Srp19","38815"
"306","FBgn0052368","lncRNA:CR32368","317997"
"307","FBgn0052361","tRNA:Leu-CAG-1-5","3771969"
"308","FBgn0260968","CG42591","8674006"
"309","FBgn0020392","Nmt","38909"
"310","FBgn0087039","Sbp2","38934"
"311","FBgn0035896","CG6983","38964"
"312","FBgn0035901","Pus7","38969"
"313","FBgn0017429","CG5989","38984"
"314","FBgn0040321","GNBP3","39020"
"315","FBgn0052039","Svip","317834"
"316","FBgn0267533","asRNA:CR45873","26067201"
"317","FBgn0286833","CG46387","39877388"
"318","FBgn0266952","lncRNA:CR45403","19835783"
"319","FBgn0085267","CG34238","5740238"
"320","FBgn0052068","Adi1","326189"
"321","FBgn0036107","galla-2","39221"
"322","FBgn0036109","Cpr67Fa2","39224"
"323","FBgn0052069","CG32069","39235"
"324","FBgn0083068","CG33947","26067039"
"325","FBgn0052074","CG32074","317842"
"326","FBgn0265929","lncRNA:CR44718","19835872"
"327","FBgn0265933","lncRNA:CR44722","19836076"
"328","FBgn0036176","CG7377","2768978"
"329","FBgn0266992","lncRNA:CR45443","19834904"
"330","FBgn0267540","lncRNA:CR45880","26067208"
"331","FBgn0053265","Muc68E","2768990"
"332","FBgn0002565","Lsp2","45326"
"333","FBgn0052104","CG32104","39413"
"334","FBgn0085271","CG34242","5740417"
"335","FBgn0036359","CG14105","39507"
"336","FBgn0085273","CG34244","5740216"
"337","FBgn0267695","lncRNA:CR46031","26067350"
"338","FBgn0053986","CG33986","3885638"
"339","FBgn0036568","ATPsynbetaL","39761"
"340","FBgn0036580","PDCD-5","39776"
"341","FBgn0267550","asRNA:CR45890","26067218"
"342","FBgn0267224","lncRNA:CR45664","19835823"
"343","FBgn0036614","Golgin104","39810"
"344","FBgn0283681","Tcs3","39811"
"345","FBgn0267555","asRNA:CR45895","26067223"
"346","FBgn0262895","lncRNA:CR43250","19835793"
"347","FBgn0052179","Krn","326198"
"348","FBgn0259739","CG42393","7354474"
"349","FBgn0052202","CG32202","326199"
"350","FBgn0266937","lncRNA:CR45388","19835942"
"351","FBgn0036818","CG14074","40051"
"352","FBgn0025807","Rad9","40054"
"353","FBgn0015586","Acp76A","40078"
"354","FBgn0036857","Aldh7A1","40097"
"355","FBgn0062928","hpRNA:CR33940","3771790"
"356","FBgn0036908","TORIP","40158"
"357","FBgn0052221","CG32221","317924"
"358","FBgn0036918","Pfdn6","40176"
"359","FBgn0004852","Ac76E","40180"
"360","FBgn0036970","Spn77Bc","40236"
"361","FBgn0029158","Las","40259"
"362","FBgn0036991","CtIP","40262"
"363","FBgn0036999","isoQC","40270"
"364","FBgn0016696","Pitslre","40292"
"365","FBgn0037021","Pcif1","40295"
"366","FBgn0040636","CG13255","50109"
"367","FBgn0283479","Alp1","40372"
"368","FBgn0037166","CG11426","40471"
"369","FBgn0037191","CG14448","40497"
"370","FBgn0024733","RpL10","43864"
"371","FBgn0264492","CkIIalpha","48448"
"372","FBgn0266657","asRNA:CR45164","19834895"
"373","FBgn0267661","asRNA:CR45999","26067320"
"374","FBgn0037261","CG9775","40576"
"375","FBgn0022981","rpk","40580"
"376","FBgn0267812","asRNA:CR46137","26067453"
"377","FBgn0037284","CG14659","40604"
"378","FBgn0037317","CG14667","40643"
"379","FBgn0082961","snoRNA:Psi28S-3385b","5740675"
"380","FBgn0082979","snoRNA:Psi28S-3091a","5740351"
"381","FBgn0086662","snoRNA:Psi28S-3186","3772266"
"382","FBgn0082989","snoRNA:Psi28S-2442a","5740263"
"383","FBgn0267690","CG46026","26067064"
"384","FBgn0266235","lncRNA:CR44930","19834915"
"385","FBgn0263383","lncRNA:CR43435","12798042"
"386","FBgn0037469","Dpck","40846"
"387","FBgn0037477","CG14610","40856"
"388","FBgn0004175","Mst84Dd","40886"
"389","FBgn0261508","CG42656","10178806"
"390","FBgn0015831","Rtnl2","40903"
"391","FBgn0267818","lncRNA:CR46143","26067459"
"392","FBgn0040524","CG11052","49997"
"393","FBgn0010173","RPA1","40972"
"394","FBgn0051450","mRpS18A","326141"
"395","FBgn0012027","tRNA:Tyr-GTA-1-5","3772598"
"396","FBgn0012026","tRNA:Tyr-GTA-1-6","3772062"
"397","FBgn0037621","M1BP","41042"
"398","FBgn0040532","CG8369","50005"
"399","FBgn0051100","CG31100","41075"
"400","FBgn0010222","Nmdmc","47895"
"401","FBgn0260237","BBIP1","8674100"
"402","FBgn0037737","Pnn","41185"
"403","FBgn0037780","ohgt","41230"
"404","FBgn0051410","Npc2e","326136"
"405","FBgn0266732","asRNA:CR45205","19835857"
"406","FBgn0037809","CG12818","41261"
"407","FBgn0037811","CG12592","41263"
"408","FBgn0262223","mir-994","12797880"
"409","FBgn0037824","CG14684","41281"
"410","FBgn0051390","MED7","41288"
"411","FBgn0260944","Rbp1","41294"
"412","FBgn0040257","Ugt302E1","53508"
"413","FBgn0086055","snoRNA:Me18S-C1096","5740862"
"414","FBgn0051144","asRNA:CR31144","10178892"
"415","FBgn0011774","Irbp","117419"
"416","FBgn0042205","CG18764","59239"
"417","FBgn0260743","GC1","41448"
"418","FBgn0264829","CG44037","14462455"
"419","FBgn0038037","Cyp9f2","41520"
"420","FBgn0038045","NANS","41528"
"421","FBgn0013277","Hsp70Ba","44921"
"422","FBgn0013278","Hsp70Ba","44921"
"423","FBgn0013278","Hsp70Bb","48582"
"424","FBgn0013278","Hsp70Bc","48583"
"425","FBgn0267682","asRNA:CR46018","26067339"
"426","FBgn0044511","mRpS21","318249"
"427","FBgn0038196","CG9922","41708"
"428","FBgn0038235","CG8461","41758"
"429","FBgn0038307","mRpS10","41838"
"430","FBgn0038311","CG14864","41846"
"431","FBgn0266722","Trs33","41866"
"432","FBgn0038387","blp","41937"
"433","FBgn0052856","CG32856","318251"
"434","FBgn0038437","Sdhaf3","42004"
"435","FBgn0038461","EMC2B","42045"
"436","FBgn0038470","CG18213","42055"
"437","FBgn0085307","CG34278","5740656"
"438","FBgn0264291","Det","42077"
"439","FBgn0085310","CG34281","50039"
"440","FBgn0038532","CG14322","42124"
"441","FBgn0038596","CG14312","42195"
"442","FBgn0051231","CG31231","318638"
"443","FBgn0266388","asRNA:CR45028","19835369"
"444","FBgn0038673","CG14286","42280"
"445","FBgn0038675","CG6013","42286"
"446","FBgn0038738","CG4572","42360"
"447","FBgn0043457","CG5180","192508"
"448","FBgn0262185","mir-995","12798495"
"449","FBgn0038951","Polr3F","42619"
"450","FBgn0263351","AP-2mu","42642"
"451","FBgn0053107","CG33107","326256"
"452","FBgn0039017","CG6985","42694"
"453","FBgn0086253","rumi","326122"
"454","FBgn0040588","CG13841","50061"
"455","FBgn0039077","CG17380","42766"
"456","FBgn0004187","snRNA:U1:95Cc","3772462"
"457","FBgn0051141","CG31141","318605"
"458","FBgn0264740","CG43998","19836181"
"459","FBgn0039129","RpS19b","42830"
"460","FBgn0043455","CG5986","192506"
"461","FBgn0039149","CG18428","42857"
"462","FBgn0267339","p38c","2768679"
"463","FBgn0039158","TBC1d7","42869"
"464","FBgn0039159","mRpS24","42870"
"465","FBgn0039170","CG13609","42883"
"466","FBgn0011785","BRWD3","42898"
"467","FBgn0267763","lncRNA:CR46094","26067411"
"468","FBgn0051125","CG31125","318599"
"469","FBgn0039237","CG13640","42967"
"470","FBgn0043799","CG31381","192528"
"471","FBgn0051111","CG31111","318595"
"472","FBgn0051106","CG31106","318594"
"473","FBgn0286042","sisRNA:CR46364","39877406"
"474","FBgn0039304","CG10425","43043"
"475","FBgn0039336","CG4553","43078"
"476","FBgn0267214","lncRNA:CR45654","19835423"
