,ENSEMBL,SYMBOL,ENTREZID
555,FBgn0263769,lncRNA:CR43686,14462409
556,FBgn0259231,CCKLR-17D1,32860
557,FBgn0027358,Tim9b,3772213
558,FBgn0031049,Sec61gamma,32968
559,FBgn0026174,SkpD,32995
560,FBgn0086782,amn,32999
561,FBgn0040651,CG15458,50124
562,FBgn0261624,I-3,33068
563,FBgn0025814,Mgstl,44110
564,FBgn0265613,asRNA:CR44431,19835804
565,FBgn0031170,Abca3,33103
566,FBgn0020369,Rpt6,33105
567,FBgn0064117,SLIRP1,3772560
568,FBgn0266355,lncRNA:CR45003,19834975
569,FBgn0265922,lncRNA:CR44711,19834762
570,FBgn0031190,CG12576,33135
571,FBgn0264940,lncRNA:CR44109,14462418
572,FBgn0016976,stnA,3355164
573,FBgn0039943,CG17168,3354996
